Domain,Feature Name,Canonical Owner,Primary User / Actor,Business Outcome,Entry Point / Surface,Short Description,Variants / Markets,Dependencies / Related Flows,Service / Repository,DB - Collections,Evidence Source,Criticality,Usage Confidence,Disposition,Open Questions,Reviewer,Review Status
Corpsec,View & Search Company List,,Admin User,Give operations teams a single place to locate any client company quickly,Admin App > Companies List,Paginated list of all companies showing Name / UEN / Transfer flag / Client Type / Record Type / Created Date. Search by User Email / Allocated Users / Customer Name.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,"Registration ID column name differs by region: SG=UEN, HK=BR No., UK=Company Number, AU=ABN. HK and AU show Updated Date column instead of Client Type. UK admin has an additional Dashboard top-level nav item.",,Draft
Corpsec,Filter & Sort Company List,,Admin User,Allow ops teams to narrow the company list by lifecycle or regulatory state without manual searching,Admin App > Companies List,"Filter dimensions vary by region. SG has 6 filters (Status 18 opts incl. Draft→Archived, ACRA Non-Compliant, ACRA Status, Client Type, Company Type, Record Type). HK has 2 filters (Status 15 opts using 'Processing by Company Registry', Record Type). UK has 3 filters (Status 18 opts using 'Processing by Companies House', Client Type, Record Type). AU has 2 filters (Status 16 opts using 'Processing by ASIC', Record Type). All regions support sortable columns and inline Name / registration-ID text filter.","SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,ACRA Non-Compliant and ACRA Status filters are SG-only. Company Type filter is SG-only. Client Type filter is SG and UK only. Status option labels differ by regulatory body (ACRA / Company Registry / Companies House / ASIC).,,Draft
Corpsec,Create Company – Incorporation,,Admin User / Corpsec Officer,Enable Sleek to onboard a new company for Singapore incorporation,Admin App > Companies List > CREATE COMPANY > Incorporation,Immediately creates a Draft company record (On-boarded for = Incorporation) and opens the edit form pre-populated with incorporation-specific fields: Preferred Incorporation date / Reason for establishing company / Dormant flag / Customer Risk Rating / SBA details / SSIC codes / Business Account projections / Registered address / Web 3.0 declaration.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,Does clicking Incorporation always auto-create the record or is there a confirmation step?,,Draft
Corpsec,Create Company – Transfer,,Admin User / Corpsec Officer,Enable Sleek to onboard an existing company being transferred to Sleek's management,Admin App > Companies List > CREATE COMPANY > Transfer,"Immediately creates a Draft company record (On-boarded for = Transfer). AU uniquely splits this into two sub-types: 'Transfer - Company' and 'Transfer - Sole trader', each creating a Draft record with the appropriate entity profile. SG, HK, UK have a single Transfer option.","SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,AU exposes Transfer as two distinct options (Transfer - Company / Transfer - Sole trader) — confirm whether these are treated as separate feature rows or variants of the same flow.,,Draft
Corpsec,View & Edit Company Core Details,,Admin User / Corpsec Officer,Keep the company's master record accurate throughout its lifecycle,Admin App > Company Overview > Overview tab – EDIT PAGE,Editable company header fields and status. Field set varies by region: SG has UEN / ACRA filing dates; HK has CR No. + BR No. + Last Filing Date + Financial Year End + Xero Contact ID; UK has Company Number + Tax Reference (UTR) + Companies House Authentication Code + Xero Contact ID; AU has ABN + ACN + Tax File Number + Entity Type (replaces Company Type). All regions show UPDATE and DELETE (Draft only) actions.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,DELETE rule (Draft only) – verify across all regions. Xero Contact ID present in HK and UK but not SG/AU – confirm.,,Draft
Corpsec,Edit Company Business Profile,,Admin User / Corpsec Officer,Capture business-level attributes required for compliance and risk assessment,Admin App > Company Overview > Overview tab – About the company section,Editable business-level attributes below the company header. Fields differ significantly by region. SG: Customer Risk Rating / SBA details / Business Account client / Preferred Incorporation date / Has Nominee Shareholder / Dormant flag. HK adds Language Preference (English / Traditional Chinese / Simplified Chinese) and Company Name 2 / 3 / Business Name / Has only one member since. UK adds Company Registered Email ID / EDD/CDD Complete Date / Target Date for Next EDD/CDD. AU has Business Name / Former Company Name / Dormant flag (no SBA / no Risk Rating shown).,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,Customer Risk Rating absent from AU overview — confirm if it exists elsewhere in AU flow. EDD/CDD date fields are UK-only — verify.,,Draft
Corpsec,Edit Company Information & Business Activity Codes,,Admin User / Corpsec Officer,Record business activity codes and address needed for ACRA filing and client profiling,Admin App > Company Overview > Overview tab – Company information section,Business activity codes and address fields. Code system varies: SG uses SSIC (primary + secondary); UK uses SIC (4 fields); AU uses ANZIC (1 field); HK uses free-form activity description. Address structure is region-specific (SG: standard / HK: includes District + Address line 3 / UK: House Name/Number + Post Town + Postcode / AU: separate Registered + Business addresses + state-of-registration selector). SG also captures Web 3.0 / cryptocurrency declaration and Business Account projection fields.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,SG cryptocurrency / Web 3.0 questions — confirm whether these appear in any other region.,,Draft
Corpsec,View & Edit Staff Assigned to Company,,Admin User / Team Lead,Ensure accountability by linking named staff to each client company across all service lines,Admin App > Company Overview > Overview tab – Staff assigned panel (view) / Accounting tab – Edit assignee (edit),View and assign named staff members to the company across all service lines. Role set differs by region. SG: ~25 roles incl. Named CS / CS Team Lead / Immigration / Portfolio Lead / Customer Champion. HK: ~20 roles incl. Auditor / Auditor Backup. UK/AU: ~14 roles incl. Senior Accountant / Junior Accountant / CSS In Charge / Tax and Payroll Manager. All regions editable via 'Edit assignee' action.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,High,High,Must Keep,Immigration-related roles appear only in SG — confirm. Auditor roles appear only in HK — confirm.,,Draft
Corpsec,View Company as Client,,Admin User / QA,Allow admins to preview exactly what the client sees in the customer portal for a given company,Admin App > Company Overview > VIEW AS CLIENT button,Opens the client-facing view of the company in a new context. Available on live companies.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,Medium,High,Must Keep,,,Draft
Corpsec,Add Internal Comment to Company,,Admin User,Enable async internal communication and audit trail on a company record,Admin App > Company Overview > COMMENT button (persistent bottom-left),Floating COMMENT button present on all company detail tabs (Overview / People & Entities / Shares / Accounting / Deadlines / Billing Beta). Allows admin to post internal comments.,"SG, HK, UK, AU",,"sleek-back, sleek-website",sleek,Live app walkthrough,Medium,High,Must Keep,,,Draft
